group,year,date,venue,organizer,title,author,discussant,session,start,end,link
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Lucas vs. Lucas: On Inequality and Growth,"JUAN CARLOS CORDOBA, Rice University; GENEVIEVE VERDIER, Texas A&M University",,,"JULY 17, 10:15 am","JULY 17, 11:15 am",efacr/cordoba.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,On-the-Job Search and Precautionary Savings: Theory and Empirics of Earnings and Wealth Inequality,"JEREMY LISE, Queens University",,,"JULY 17, 11:30 am","JULY 17, 12:30 pm",efacr/lise.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,"Differential Mortality, Uncertain Medical Expenses, and the Saving of Elderly Singles","MARIACRISTINA DE NARDI, Federal Reserve Bank of Chicago; ERIC FRENCH, Federal Reserve Bank of Chicago; JOHN BAILEY JONES, University at Albany",,,"JULY 18, 9:00 am","JULY 18, 10:00 am",https://www.nber.org/papers/w12554
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Whom Should We Believe? Collective Risk-Taking Decisions with Heterogeneous Beliefs,"CHRISTIAN GOLLIER, University of Toulouse",,,"JULY 18, 10:15 am","JULY 18, 11:15 am",efacr/gollier.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,"Capital Markets Liberalization, Savings and Global Imbalances","VINCENZO QUADRINI, University of Southern California and NBER; JOSE-VICTOR RIOS-RULL, University of Pennsylvania and NBER",,,"JULY 18, 11:30 am","JULY 18, 12:30 pm",
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Monetary Policy with Heterogeneous Agents and Credit Constraints,"YANN ALGAN, PSE; XAVIER RAGOT, PSE",,,"JULY 19, 9:00 am","JULY 19, 10:00 am",efacr/algan.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Indirect Effects of an Aid Program: The Case of Progresa and Consumption,"MANUELA ANGELUCCI, University of Arizona; GIACOMO DE GIORGI, UniversityCollegeLondon",,,"JULY 19, 10:15 am","JULY 19, 11:15 am",
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,"Taxation, Aggregates and the Household","NEZIH GUNER, Pennsylvania State University; REMZI KAYGUSUZ, Pennsylvania State University; GUSTAVO VENTURA, Pennsylvania State University",,,"JULY 19, 11:30 am","JULY 19, 12:30 pm",
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,How Large is the Retirement Consumption Drop in Italy,"ERICH BATTISTIN, University of Padova; ENRICO RETTORE, University of Padova; GUGLIELMO WEBER, University of Padova; AGAR BRUGIAVINI, University of Venice",,,"JULY 20, 9:00 am","JULY 20, 10:00 am",efacr/battistin.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,First-Time Home Buyers and the Decline in Aggregate Volatility,"JONAS FISHER, Federal Reserve Bank of Chicago; MARTIN GERVAIS, University of WesternOntario",,,"JULY 20, 10:15 am","JULY 20, 11:15 am",
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,"Income Risk, Risk-Sharing, and Household Debt","THOMAS HINTERMAIER, Institute for Advanced Studies; WINFRIED KOENIGER, University of Bonn",,,"JULY 20, 11:30 am","JULY 20, 12:30 pm",efacr/koeniger.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Why Does China Save So Much?,"CHARLES YUJI HORIOKA, OsakaUniversity and NBER; JUNMIN WAN, OsakaUniversity",,,"JULY 21, 9:00 am","JULY 21, 10:00 am",efacr/horioka.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Informational Assumptions on Income Processes and Consumption Dynamics in the Buffer Stock Model of Savings,"DMYTRO HRYSHKO, University of Houston",,,"JULY 21, 10:15 am","JULY 21, 11:15 am",efacr/hryshko.pdf
EFACR,2006,"July 17-21, 2006","Royal Sonesta Hotel, Parkview Room",Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Determinants of Household Saving in China,"MARCOS CHAMON, International Monetary Fund; ESWAR PRASAD, International Monetary Fund",,,"JULY 21, 11:30 am","JULY 21, 12:30 pm",efacr/chamon.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,"The Young, the Old, and the Restless: Demographics and Business Cycle Volatility","NIR JAIMOVICH, UC, San Diego; HENRY SIU, University of British Columbia",,,"JULY 17, 9:00 am","JULY 17, 10:00 am",http://www.econ.ubc.ca/siu/research/empirical4.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Do News Shocks Drive the Business Cycle?,"NIR JAIMOVIC, UC, San Diego; SERGIO REBELO, Northwestern University and NBER",,,"JULY 17, 10:15 am","JULY 17, 11:15 am",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Great Expectations and the End of the Depression,"GAUTI EGGERTSSON, Federal Reserve Bank of New York",,,"JULY 17, 11:30 am","JULY 17, 12:30 pm",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Strategic Complementarities and Optimal Monetary Policy,"ANDREW LEVIN, Federal Reserve Board; DAVID LOPEZ-SALIDO, Federal Reserve Board; TACK YUN, Federal Reserve Board",,,"JULY 18, 9:00 am","JULY 18, 10:00 am",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Robustly Optimal Monetary Policy Under Near-Rational Expectations,"MICHAEL WOODFORD, Columbia University and NBER",,,"JULY 18, 10:15 am","JULY 18, 11:15 am",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Optimal Inflation Stabilization in a Medium-Scale Macroeconomic Model,"STEPHANIE SCHMITT-GROHE, Duke University and NBER; MARTIN URIBE, Duke University and NBER",,,"JULY 18, 11:30 am","JULY 18, 12:30 pm",efce/uribe.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Liquidity and the Market for Ideas,"RANDALL WRIGHT, University of Pennsylvania and NBER; RAFAEL SILVEIRA, University of Pennsylvania",,,"JULY 19, 9:00 am","JULY 19, 10:00 am",https://conference.nber.org/confer/2006/si2006/efce/wright.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Identifying Government Spending Shocks: It's All in the Timing,"VALERIE RAMEY, UC, San Diego and NBER",,,"JULY 19, 10:15 am","JULY 19, 11:15 am",https://conference.nber.org/confer/2006/si2006/efce/ramey.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Investment Options and the Business Cycle,"BOYAN JOVANOVIC, New York University and NBER",,,"JULY 19, 11:30 am","JULY 19, 12:30 pm",https://conference.nber.org/confer/2006/si2006/efce/jovanovic.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,A New Keynesian Model with Unemployment,"OLIVIER BLANCHARD, MIT and NBER; JORDI GALI, MIT and NBER",,,"JULY 20, 9:00 am","JULY 20, 10:00 am",https://conference.nber.org/confer/2006/si2006/efce/gali.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Unemployment Fluctuation with Staggered Nash Wage Bargaining,"MARK GERTLER, New York University and NBER; ANTONELLA TRIGARI, Bocconi University",,,"JULY 20, 10:15 am","JULY 20, 11:15 am",https://conference.nber.org/confer/2006/si2006/efce/gertler.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,What--Or Who--Caused the Great Depression?,"LEE OHANIAN, UC, Los Angeles and NBER",,,"JULY 20, 11:30 am","JULY 20, 12:30 pm",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,The Returns to Currency Speculation,"CRAIG BURNSIDE, Duke University and NBER; MARTIN EICHENBAUM, Northwestern University and NBER; SERGIO REBELO, Northwestern University and NBER; ISAAC KLESHCHELSKI, Northwestern University",,,"JULY 21, 9:00 am","JULY 21, 10:00 am",https://conference.nber.org/confer/2006/si2006/efce/eichenbaum.pdf
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,Capital Taxation: Quantitative Explorations of the Inverse Euler Equation,"EMMANUEL FARHI, MIT; IVAN WERNING, MIT and NBER",,,"JULY 21, 10:15 am","JULY 21, 11:15 am",
EFCE,2006,"July 17-21, 2006",Royal Sonesta Hotel,Lawrence Christiano; Martin Eichenbaum,The Distribution of Wealth and Redistributive Policies,"JESS BENHABIB, New York University; ALBERTO BISIN, New York University",,,"JULY 21, 11:30 am","JULY 21, 12:30 pm",https://conference.nber.org/confer/2006/si2006/efce/benhabib.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Bank Risk Taking and Competition Revisied: New Theory and New Evidence,"JOHN BOYD, University of Minnesota; GIANNI DE NICOLO, International Monetary Fund; ABU AL JALAL, University of Minnesota","ITAY GOLDSTEIN, University of Pennsylvania",,"JULY 17, 1:00 pm","JULY 17, 1:50 pm",https://conference.nber.org/confer/2006/si2006/efel/denicolo.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,"Intermediation, Capital Immobility, and Asset Prices","ARVIND KRISHNAMURTHY, Northwestern University; ZHIGUO HE, Northwestern University","ADRIEN VERDELHAN, Boston University",,"JULY 17, 1:50 pm","JULY 17, 2:40 pm",https://conference.nber.org/confer/2006/si2006/efel/krishnamurthy.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Bailouts and the Incentive to Manage Risk,"STAVROS PANAGEAS, University of Pennsylvania","GEORGE PENNACHI, University of Illinois at Urbana-Champaign",,"JULY 17, 2:55 pm","JULY 17, 3:45 pm",https://conference.nber.org/confer/2006/si2006/efel/panageas.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Does Firm Value Move Too Much to be Justified by Subsequent Changes in Cash Flow?,"MOTOHIRO YOGO, University of Pennsylvania; BORJA LARRAIN, Federal Reserve Bank of Boston","STANLEY ZIN, Carnegie Mellon University and NBER",,"JULY 17, 3:45 pm","JULY 17, 4:35 pm",https://conference.nber.org/confer/2006/si2006/efel/yogo.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Why Do Portfolios of the Elderly Differ Internationally?,"MICHAEL HALIASSOS, Goethe University Frankfurt; DIMITRIS CHRISTELIS, University of Salerno; DIMITRIS GEORGARAKOS, Goethe University Frankfurt","JOHN AMERIKS, The Vanguard Group",,"JULY 18, 1:00 pm","JULY 18, 1:50 pm",https://conference.nber.org/confer/2006/si2006/efel/haliassos.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Collateralized Borrowing and Life-Cycle Portfolio Choice,"PAUL WILLEN, University of Chicago; FELIX KUBLER, Stanford University","BRYAN ROUTLEDGE, Carnegie Mellon University",,"JULY 18, 1:50 pm","JULY 18, 2:40 pm",https://conference.nber.org/confer/2006/si2006/efel/willen.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,"Leasing, Ability to Repossess and Debt Capacity","ADRIANO RAMPINI, Northwestern University; ANDREA EISFELDT, Northwestern University","AMIR SUFI, University of Chicago",,"JULY 18, 2:55 pm","JULY 18, 3:45 pm",http://www.kellogg.northwestern.edu/faculty/rampini/htm/papers/leasing.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Is Cash Negative Debt? A Hedging Perspective on Corporate Financial Policies,"VIRAL ACHARYA, London Business School; HEITOR ALMEIDA, New York University and NBER; MURILLO CAMPELLO, University of Illinois at Urbana-Champaign and NBER","MICHAEL ROBERTS, University of Pennsylvania",,"JULY 18, 3:45 pm","JULY 18, 4:35 pm",https://conference.nber.org/confer/2006/si2006/efel/almeida.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,"Financial Frictions, Investment, and Tobin's q","GUIDO LORENZONI, MIT and NBER; KARL WALENTIN, Sveriges Riksbank","ANDREW ABEL, University of Pennsylvania and NBER",,"JULY 19, 1:00 pm","JULY 19, 1:50 pm",https://conference.nber.org/confer/2006/si2006/efel/lorenzoni.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,The y-Theory of Investment,"THOMAS PHILIPPON, New York University and NBER","LUCA BENZONI, University of Minnesota",,"JULY 19, 1:50 pm","JULY 19, 2:40 pm",http://pages.stern.nyu.edu/~tphilipp/papers/ytheory.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,Heterogeneous Beliefs and Bond Yields,"WEI XIONG, Princeton University and NBER; HONGJUN YAN, Yale University","MONIKA PIAZZESI, University of Chicago and NBER",,"JULY 19, 2:55 pm","JULY 19, 3:45 pm",https://conference.nber.org/confer/2006/si2006/efel/xiong.pdf
EFEL,2006,"July 17 - 19, 2006",Royal Sonesta Hotel,Janice Eberly; Deborah Lucas,"Agency Conflicts, Investment, and Asset Pricing","NENG WANG, Columbia University; RUI ALBUQUERQUE, Boston University","PING HE, University of Illinois at Chicago",,"JULY 19, 3:45 pm","JULY 19, 4:35 pm",https://conference.nber.org/confer/2006/si2006/efel/wang.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,An Equilibrium Model of Global Imbalances and Low Interest Rates,"RICARDO CABALLERO, MIT and NBER; EMMANUEL FARHI, MIT; PIERRE-OLIVIER GOURINCHAS, UC, Berkeley and NBER","LARS SVENSSON, Princeton University and NBER",,"JULY 15, 9:00 am","JULY 15, 10:00 am",http://www.nber.org/~confer/2006/si2006/efg/caballero.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,The International Diversification Puzzle is Not as Bad as You Think,"JONATHAN HEATHCOTE, Georgetown University; FABRIZIO PERRI, New York University and NBER","NOBUHIRO KIYOTAKI, London School of Economics and NBER",,"JULY 15, 10:30 am","JULY 15, 11:30 am",http://pages.stern.nyu.edu/~fperri/papers/interdivpuz.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,Consumption Commitments and Risk Preferences,"RAJ CHETTY, UC, Berkeley and NBER; ADAM SZEIDL, UC, Berkeley","JOHN HEATON, University of Chicago and NBER",,"JULY 15, 11:30 am","JULY 15, 12:30 pm",http://www.nber.org/~confer/2006/si2006/efg/chetty.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,The Impact of Uncertainty Shocks: Firm Level Estimation and a 9/11 Simulation,"NICK BLOOM, Stanford University and NBER","VALERIE RAMEY, UC, San Diego and NBER",,"JULY 15, 1:30 pm","JULY 15, 2:30 pm",http://www.nber.org/~confer/2006/si2006/efg/bloom.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,Understanding Wage Inequality: Ben-Porath Meets Skill-Biased Technical Change,"FATIH GUVENEN, University of Texas at Austin; BURHANETTIN KURUSCU, University of Texas at Austin","STEVEN DAVIS, University of Chicago and NBER",,"JULY 15, 3:00 pm","JULY 15, 4:00 pm",http://www.eco.utexas.edu/~mfg265/GK_2006.pdf
EFG,2006,"July 15, 2006","Royal Sonesta Hotel, Ballroom A",Daron Acemoglu; Anil Kashyap,The Rise of the Service Economy,"FRANCISCO BUERA, Northwestern University; JOSEPH KABOSKI, Ohio State University","ROBERT HALL, Stanford University and NBER",,"JULY 15, 4:00 pm","JULY 15, 5:00 pm",http://www.nber.org/~confer/2006/si2006/efg/buera.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,From Groundnuts to Globalization: A Structural Estimate of Trade and Growth,"CHRISTIAN BRODA, University of Chicago and NBER; JOSHUA GREENFIELD, Columbia University; DAVID WEINSTEIN, Columbia University and NBER","PAUL ROMER, Stanford University and NBER",,"JULY 14, 9:00 am","JULY 14, 10:00 am",https://conference.nber.org/confer/2006/si2006/efjk/broda.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,"Competition, Innovation and Growth with Limited Commitment","RAMON MARIMON, University of Pompeu Fabra; VINCENZO QUADRINI, University of Southern California and NBER","MICHELE BOLDRIN, University of Minnesota",,"JULY 14, 10:15 am","JULY 14, 11:15 am",https://conference.nber.org/confer/2006/si2006/efjk/marimon.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,Longevity and Lifetime Labor Input: Data and Implications,"MOSHE HAZAN, Hebrew University","GUILLAUME VANDENBROUCKE, University of Southern California",,"JULY 14, 11:15 am","JULY 14, 12:15 pm",https://conference.nber.org/confer/2006/si2006/efjk/hazan.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,Five Facts You Need to Know About Technology Diffusion,"DIEGO COMIN, New York University and NBER; BART HOBIJN, Federal Reserve Bank of New York; EMILIE ROVITO, Federal Reserve Bank of New York","RODOLFO MANUELLI, University of Wisconsin-Madison",,"JULY 14, 1:15 pm","JULY 14, 2:15 pm",https://conference.nber.org/confer/2006/si2006/efjk/comin.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,On the Aggregate and Distributional Implications of Productivity Differences Across Countries,"ANDRES EROSA, University of Toronto; TATYANA KORESHKOVA, Oberlin College; DIEGO RESTUCCIA, University of Toronto","ANANTH SESHADRI, University of Wisconsin-Madison",,"JULY 14, 2:30 pm","JULY 14, 3:30 pm",https://conference.nber.org/confer/2006/si2006/efjk/erosa.pdf
EFJK,2006,"July 14, 2006",NBER,Chad Jones; Pete Klenow,Disease and Development: The Effect of Life Expectancy on Economic Growth,"DARON ACEMOGLU, MIT and NBER; SIMON JOHNSON, MIT and NBER","HOYT BLEAKLEY, University of Chicago",,"JULY 14, 3:30 pm","JULY 14, 4:30 pm",http://economics.mit.edu/faculty/download_pdf.php?id=1354
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Heterogeneity and the Amplification of Shocks in Matching Models,"MICHAEL PRIES, University of Maryland",,,"JULY 17, 12:40 pm","JULY 17, 1:30 pm",https://conference.nber.org/confer/2006/si2006/efrsw/pries.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Endogenous Labor Market Participation and the Business Cycle,"CHRISTIAN HAEFKE, Universitat Pompeu Fabra; MICHAEL REITER, Universitat Pompeu Fabra",,,"JULY 17, 1:30 pm","JULY 17, 2:20 pm",https://conference.nber.org/confer/2006/si2006/efrsw/haefke.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Identification of Search Models with Initial Condition Problems,"GADI BARLEVY, Federal Reserve Bank of Chicago; H. NAGARAJA, Ohio State University",,,"JULY 17, 2:40 pm","JULY 17, 3:30 pm",
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,On the Extent of Job-to-Job Transitions,"EVA NAGYPAL, Northwestern University",,,"JULY 17, 3:30 pm","JULY 17, 4:20 pm",http://faculty.wcas.northwestern.edu/~een461/Extent_job_to_job_09162005.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Optimal Growth Through Product Innovation,"RASMUS LENTZ, University of Wisconsin-Madison; DALE MORTENSEN, Northwestern University",,,"JULY 17, 4:40 pm","JULY 17, 5:30 pm",https://conference.nber.org/confer/2006/si2006/efrsw/lentz.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Work-Consumption Preferences and Employment Volatility,"ROBERT HALL, Stanford University and NBER",,,"JULY 18, 12:40 pm","JULY 18, 1:30 pm",https://conference.nber.org/confer/2006/si2006/efrsw/hall.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Mismatch and Mobility,"ROBERT SHIMER, University of Chicago and NBER",,,"JULY 18, 1:30 pm","JULY 18, 2:20 pm",https://conference.nber.org/confer/2006/si2006/efrsw/shimer.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Efficiency of Simultaneous Directed Search with Recall,"PHILLIP KIRCHER, University of Bonn",,,"JULY 18, 2:40 pm","JULY 18, 3:30 pm",https://conference.nber.org/confer/2006/si2006/efrsw/kircher.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,On the Return to Venture Capital,"BOYAN JOVANOVIC, New York University and NBER; BALAZS SZENTES, University of Chicago",,,"JULY 18, 3:30 pm","JULY 18, 4:20 pm",https://conference.nber.org/confer/2006/si2006/efrsw/jovanovic.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Inflation and Unemployment: Lagos-Wright meets Mortensen-Pissarides,"ALEKSANDER BERENTSEN, Universiteit Basel; GUIDO MENZIO, Northwestern University; RANDALL WRIGHT, University of Pennsylvania and NBER",,,"JULY 18, 4:40 pm","JULY 18, 5:30 pm",
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Volatility and Dispersion in Business Growth Rates: Publicly Traded vs Privately Held Firms,"STEVE DAVIS, University of Chicago and NBER; JOHN HALTIWANGER, University of Maryland and NBER; RON JARMIN, Bureau of the Census; JAVIER MIRANDA, Bureau of the Census",,,"JULY 19, 1:30 pm","JULY 19, 2:20 pm",https://conference.nber.org/confer/2006/si2006/efrsw/haltiwanger.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Valuing Lost Home Production of Dual Career Couples,"CHRISTOPHER HOUSE, University of Michigan and NBER; JOHN LAITNER, University of Michigan; DMITRIY STOLYAROV, University of Michigan",,,"JULY 19, 2:40 pm","JULY 19, 3:30 pm",http://www-personal.umich.edu/~chouse/papers/dual_web2.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,"Taxes, Transfers and Time Use in a Model with Household Production","KELLY RAGAN, University of Chicago",,,"JULY 19, 3:30 pm","JULY 19, 4:40 pm",
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,"Understanding Labor Supply and Taxes Over Time and Across Countries: Evidence from OECD Countries, 1956-2004","RICHARD ROGERSON, Arizona State University",,,"JULY 19, 4:40 pm","JULY 19, 5:30 pm",
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Incomplete Self-Enforcing Labor Contracts,"GUIDO MENZIO, Northwestern University; ESPEN MOEN, Norwegian School of Management",,,"JULY 20, 12:40 pm","JULY 20, 1:30 pm",http://www.sas.upenn.edu/~gmenzio/linkies/isec.pdf
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,On the Optimal Timing of Benefits with Heterogeneous Workers and Human Capital Depreciation,"ROBERT SHIMER, University of Chicago and NBER; IVAN WERNING, MIT and NBER",,,"JULY 20, 1:30 pm","JULY 20, 2:20 pm",http://economics.mit.edu/faculty/download_pdf.php?id=1338
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Wage/Tenure Profiles with Heterogenous Firms,"KEN BURDETT, University of Essex; MELVYN COLES, University of Essex",,,"JULY 20, 2:40 pm","JULY 20, 3:30 pm",
EFMPL,2006,"July 17- 20, 2006",Royal Sonesta Hotel,Richard Rogerson; Robert Shimer; Randall Wright,Marketplace Matching in Britain: Evidence from Individual Unemployment Spells,"MIEN-YUN KUO, University of Essex; ERIC SMITH, University of Essex",,,"JULY 20, 3:30 pm","JULY 20, 4:40 pm",
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,T-Statistic Based Correlation and Heterogeneity Robust Inference,"RUSTAM IBRAGIMOV, Harvard University; ULRICH MUELLER, Princeton University",,,"JULY 11, 8:30 am","JULY 11, 9:30 am",
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,Combining Forecasts from Nested Models,"MICHAEL McCRACKEN, University of Missouri",,,"JULY 11, 9:45 am","JULY 11, 10:45 am",https://conference.nber.org/confer/2006/si2006/efww/mccracken.pdf
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,Asymptotic Distribution of Principal Components Estimator of Large Spherical Factor Models,"ALEXEI ONATSKI, Columbia University",,,"JULY 11, 11:00 am","JULY 11, 12:00 n",http://www.columbia.edu/~ao2027/inference32.pdf
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,"Do Macro Variables, Asset Markets, or Surveys Forecast Inflation Better?","MIN WEI, Federal Reserve Board",,,"JULY 12, 8:30 am","JULY 12, 9:30 am",http://www.gsb.columbia.edu/faculty/aang/papers/inflation.pdf
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,"Macroeconomic Derivatives: An Initial Analysis of Market-Based Macro Forecasts, Uncertainty, and Risk","REFET GÜRKAYNAK, Bilkent University; JUSTIN WOLFERS, University of Pennsylvania and NBER",,,"JULY 12, 9:45 am","JULY 12, 10:45 am",https://conference.nber.org/confer/2006/si2006/efww/wolfers.pdf
EFFE,2006,"July 11 - 14, 2006",Royal Sonesta Hotel,Mark Watson; Kenneth West,A Simple Benchmark for Forecasts of Growth and Inflation,"MASSIMILIANO MARCELLINO, Bocconi University",,,"JULY 12, 11:00 am","JULY 12, 12:00 n",https://conference.nber.org/confer/2006/si2006/efww/marcellino.pdf
